City,Year,Month,Day,pm25
BATON ROUGE / CAPITOL 001,2011,10,8,84
BATON ROUGE / CAPITOL 001,2011,10,9,82
BATON ROUGE / CAPITOL 001,2011,10,10,70
BATON ROUGE / CAPITOL 001,2011,10,11,67
BATON ROUGE / CAPITOL 001,2011,10,12,99
BATON ROUGE / CAPITOL 001,2011,10,13,106
BATON ROUGE / CAPITOL 001,2011,10,14,104
BATON ROUGE / CAPITOL 001,2011,10,15,122
BATON ROUGE / CAPITOL 001,2011,10,16,147
BATON ROUGE / CAPITOL 001,2011,10,17,142
BATON ROUGE / CAPITOL 001,2011,10,18,104
BATON ROUGE / CAPITOL 001,2011,10,19,56
BATON ROUGE / CAPITOL 001,2011,10,20,105
BATON ROUGE / CAPITOL 001,2011,10,21,149
BATON ROUGE / CAPITOL 001,2011,10,22,151
BATON ROUGE / CAPITOL 001,2011,10,23,183
BATON ROUGE / CAPITOL 001,2011,10,24,98
BATON ROUGE / CAPITOL 001,2011,10,25,140
BATON ROUGE / CAPITOL 001,2011,10,26,150
BATON ROUGE / CAPITOL 001,2011,10,27,129
BATON ROUGE / CAPITOL 001,2011,10,28,90
BATON ROUGE / CAPITOL 001,2011,10,29,92
BATON ROUGE / CAPITOL 001,2011,10,30,106
BATON ROUGE / CAPITOL 001,2011,10,31,117
BATON ROUGE / CAPITOL 001,2011,11,1,125
BATON ROUGE / CAPITOL 001,2011,11,2,103
BATON ROUGE / CAPITOL 001,2011,11,3,67
BATON ROUGE / CAPITOL 001,2011,11,4,71
BATON ROUGE / CAPITOL 001,2011,11,5,117
BATON ROUGE / CAPITOL 001,2011,11,6,85
BATON ROUGE / CAPITOL 001,2011,11,7,56
BATON ROUGE / CAPITOL 001,2011,11,8,50
BATON ROUGE / CAPITOL 001,2011,11,9,66
BATON ROUGE / CAPITOL 001,2011,11,10,65
BATON ROUGE / CAPITOL 001,2011,11,11,110
BATON ROUGE / CAPITOL 001,2011,11,12,60
BATON ROUGE / CAPITOL 001,2011,11,13,87
BATON ROUGE / CAPITOL 001,2011,11,14,62
BATON ROUGE / CAPITOL 001,2011,11,15,87
BATON ROUGE / CAPITOL 001,2011,11,16,57
BATON ROUGE / CAPITOL 001,2011,11,17,86
BATON ROUGE / CAPITOL 001,2011,11,18,90
BATON ROUGE / CAPITOL 001,2011,11,19,50
BATON ROUGE / CAPITOL 001,2011,11,20,84
BATON ROUGE / CAPITOL 001,2011,11,21,57
BATON ROUGE / CAPITOL 001,2011,11,22,62
BATON ROUGE / CAPITOL 001,2011,11,23,80
BATON ROUGE / CAPITOL 001,2011,11,24,67
BATON ROUGE / CAPITOL 001,2011,11,25,51
BATON ROUGE / CAPITOL 001,2011,11,26,37
BATON ROUGE / CAPITOL 001,2011,11,27,50
BATON ROUGE / CAPITOL 001,2011,11,28,63
BATON ROUGE / CAPITOL 001,2011,11,29,108
BATON ROUGE / CAPITOL 001,2011,11,30,95
BATON ROUGE / CAPITOL 001,2011,12,1,122
BATON ROUGE / CAPITOL 001,2011,12,2,118
BATON ROUGE / CAPITOL 001,2011,12,3,87
BATON ROUGE / CAPITOL 001,2011,12,4,53
BATON ROUGE / CAPITOL 001,2011,12,5,61
BATON ROUGE / CAPITOL 001,2011,12,6,40
BATON ROUGE / CAPITOL 001,2011,12,7,79
BATON ROUGE / CAPITOL 001,2011,12,8,132
BATON ROUGE / CAPITOL 001,2011,12,9,125
BATON ROUGE / CAPITOL 001,2011,12,10,71
BATON ROUGE / CAPITOL 001,2011,12,11,101
BATON ROUGE / CAPITOL 001,2011,12,12,138
BATON ROUGE / CAPITOL 001,2011,12,13,77
BATON ROUGE / CAPITOL 001,2011,12,14,95
BATON ROUGE / CAPITOL 001,2011,12,15,63
BATON ROUGE / CAPITOL 001,2011,12,16,62
BATON ROUGE / CAPITOL 001,2011,12,17,60
BATON ROUGE / CAPITOL 001,2011,12,18,94
BATON ROUGE / CAPITOL 001,2011,12,19,91
BATON ROUGE / CAPITOL 001,2011,12,20,72
BATON ROUGE / CAPITOL 001,2011,12,21,84
BATON ROUGE / CAPITOL 001,2011,12,22,50
BATON ROUGE / CAPITOL 001,2011,12,23,38
BATON ROUGE / CAPITOL 001,2011,12,24,88
BATON ROUGE / CAPITOL 001,2011,12,25,70
BATON ROUGE / CAPITOL 001,2011,12,26,38
BATON ROUGE / CAPITOL 001,2011,12,27,46
BATON ROUGE / CAPITOL 001,2011,12,28,76
BATON ROUGE / CAPITOL 001,2011,12,29,83
BATON ROUGE / CAPITOL 001,2011,12,30,69
BATON ROUGE / CAPITOL 001,2011,12,31,102
KENNER,2011,1,1,52
KENNER,2011,1,2,38
KENNER,2011,1,3,49
KENNER,2011,1,4,64
KENNER,2011,1,5,76
KENNER,2011,1,6,79
KENNER,2011,1,7,73
KENNER,2011,1,8,60
KENNER,2011,1,9,57
KENNER,2011,1,10,84
KENNER,2011,1,11,63
KENNER,2011,1,12,46
KENNER,2011,1,13,87
KENNER,2011,1,14,107
KENNER,2011,1,15,122
KENNER,2011,1,16,119
KENNER,2011,1,17,105
KENNER,2011,1,18,75
KENNER,2011,1,19,95
KENNER,2011,1,20,89
KENNER,2011,1,21,53
KENNER,2011,1,22,89
KENNER,2011,1,23,127
KENNER,2011,1,24,56
KENNER,2011,1,25,62
KENNER,2011,1,26,56
KENNER,2011,1,27,93
KENNER,2011,1,28,108
KENNER,2011,1,29,131
KENNER,2011,1,30,146
KENNER,2011,1,31,66
KENNER,2011,2,1,61
KENNER,2011,2,2,66
KENNER,2011,2,3,61
KENNER,2011,2,4,52
KENNER,2011,2,5,103
KENNER,2011,2,6,81
KENNER,2011,2,7,88
KENNER,2011,2,8,110
KENNER,2011,2,9,78
KENNER,2011,2,10,84
KENNER,2011,2,11,77
KENNER,2011,2,12,70
KENNER,2011,2,13,151
KENNER,2011,2,14,133
KENNER,2011,2,15,101
KENNER,2011,2,16,113
KENNER,2011,2,17,97
KENNER,2011,2,18,97
KENNER,2011,2,19,80
KENNER,2011,2,20,56
KENNER,2011,2,21,82
KENNER,2011,2,22,118
KENNER,2011,2,23,99
KENNER,2011,2,24,80
KENNER,2011,2,25,103
KENNER,2011,2,26,100
KENNER,2011,2,27,82
KENNER,2011,2,28,103
KENNER,2011,3,1,77
KENNER,2011,3,2,106
KENNER,2011,3,3,82
KENNER,2011,3,4,64
KENNER,2011,3,5,34
KENNER,2011,3,6,79
KENNER,2011,3,7,101
KENNER,2011,3,8,69
KENNER,2011,3,9,84
KENNER,2011,3,10,71
KENNER,2011,3,11,69
KENNER,2011,3,12,63
KENNER,2011,3,13,56
KENNER,2011,3,14,73
KENNER,2011,3,15,50
KENNER,2011,3,16,50
KENNER,2011,3,17,78
KENNER,2011,3,18,90
KENNER,2011,3,19,98
KENNER,2011,3,20,149
KENNER,2011,3,21,100
KENNER,2011,3,22,125
KENNER,2011,3,23,95
