Year,Parish,Rate,Count,Population
2017,Webster,47.5,28,39268
2017,West baton rouge,68.9,21,26238
2017,West carroll,62.1,54,10967
2017,West feliciana,62.1,54,15373
2017,Winn,62.1,54,14355
2018,Acadia,65,50,62315
2018,Allen,65.2,66,25535
2018,Ascension,65.4,82,124961
2018,Assumption,68.9,21,22280
2018,Avoyelles,62.8,35,40410
2018,Beauregard,77.2,36,37491
2018,Bienville,68.8,61.5,13303
2018,Bossier,60.4,87,127153
2018,Caddo,63.6,207,243105
2018,Calcasieu,65.2,158,203507
2018,Caldwell,62.1,54,9979
2018,Cameron,62.1,54,7008
2018,Catahoula,62.1,54,9571
2018,Claiborne,85.3,20,15912
2018,Concordia,89.9,23,19618
2018,De soto,69.2,25,27412
2018,Eastbatonrouge,48.5,241,442720
2018,East carroll,62.05,131.5,6971
2018,East feliciana,75.6,22,19272
2018,Evangeline,86.2,35,33457
2018,Franklin,75.2,19,20170
2018,Grant,75.3,21,22430
2018,Iberia,66.9,59,70627
2018,Iberville,57,25,32719
2018,Jackson,87.5,20,15944
2018,Jefferson,51.6,301,434637
2018,Jefferson davis,64,28,31574
2018,Lafayette,50.3,127,243493
2018,Lafourche,69.6,83,97910
2018,Laqsalle,55.45,51.5,14900
2018,Lincoln,41.3,20,47174
2018,Livingston,79.5,121,139594
2018,Madison,75.35,73.5,11212
2018,Morehouse,71.2,26,25304
2018,Natchitoches,57.1,27,38623
2018,Orleans,56.1,271,391506
2018,Ouachita,61.6,113,154694
2018,Plaquemines,111.5,29,23411
2018,Pointe coupee,59.4,20,21856
2018,Rapides,48.7,83,130404
2018,Red river,75.55,55.5,8496
2018,Richland,102.4,28,20215
2018,Sabine,81.3,27,23909
2018,St bernard,54.6,27,46724
2018,St charles,50.8,30,52774
2018,St helena,52.5,23,10174
2018,St james,54.2,16,21131
2018,St john the baptist,49.9,27,43140
2018,St landry,78.9,83,82827
2018,St martin,70.6,47,53629
2018,St mary,62.5,41,49739
2018,St tammany,61.4,207,258598
2018,Tangipahoa,66.8,104,133951
2018,Tensas,71.6,101.5,4454
2018,Terrebonne,76.4,99,111265
2018,Union,103.1,34,22209
2018,Vermilion,68.7,51,59928
2018,Vernon,90.8,41,48679
2018,Washington,68.9,46,46601
2018,Webster,79.1,46,38780
2018,West baton rouge,60.4,19,26451
2018,West carroll,62.1,54,11008
2018,West feliciana,62.1,54,15474
2018,Winn,106.3,22,14132
2019,Acadia,66.7,54,62207
2019,Allen,79.7,24,25594
2019,Ascension,60.9,79,126798
2019,Assumption,93.3,27,21921
2019,Avoyelles,63.2,34,40138
2019,Beauregard,54.3,25,37649
2019,Bienville,81.5,17,13234
2019,Bossier,73.6,110,127377
2019,Caddo,68.2,218,240431
2019,Calcasieu,72.7,175,204038
2019,Caldwell,121.9,16,9946
2019,Cameron,62.1,54,6981
2019,Catahoula,62.1,54,9459
2019,Claiborne,65.6,16,15718
2019,Concordia,63.45,20,19314
2019,De soto,61.3,24,27440
2019,Eastbatonrouge,49.1,251,441471
2019,East carroll,65.95,137.5,6829
2019,East feliciana,82.8,24,19103
2019,Evangeline,101.5,44,33396
2019,Franklin,71.3,21,19996
2019,Grant,61.8,17,22352
2019,Iberia,68.1,58,69638
2019,Iberville,86.4,37,32549
2019,Jackson,72.4,194,15761
2019,Jefferson,58.4,351,434096
2019,Jefferson davis,85.1,35,31444
2019,Lafayette,61.2,175,244798
2019,Lafourche,55.9,72,97618
2019,Laqsalle,60.95,52.5,14910
2019,Lincoln,66,33,46851
2019,Livingston,76.8,122,141561
2019,Madison,77.6,74.5,10994
2019,Morehouse,78.4,27,24839
2019,Natchitoches,62.5,31,38179
2019,Orleans,54.4,273,391172
2019,Ouachita,70.3,131,153401
2019,Plaquemines,62.1,54,23264
2019,Pointe coupee,62.1,54,21735
2019,Rapides,66.1,112,129800
2019,Red river,71.95,67,8380
2019,Richland,77.8,22,20147
2019,Sabine,69.9,27,23895
2019,St bernard,57.7,26,47192
2019,St charles,50.8,32,53083
2019,St helena,57.6,25,10145
2019,St james,64.4,18,21045
2019,St john the baptist,41.2,22,42824
2019,St landry,75.3,80,82196
2019,St martin,76.3,51,53497
2019,St mary,91.7,64,49294
2019,St tammany,51.4,174,261303
